A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.262	Positivni dio i negativni dio stvarnog broja	$a$ je pozitivan dio, označen $a^+$ je izrazom $$a^+ = \text{if } a\geq 0 \text{ then XX1 else } 0$$ Negativni dio $a$ označen $a^-$ je izrazom $$a^- = \text{if } a\geq 0 \text{ then $0$ else } -a$$ I $a^+$ i $a^-$ nisu negativni i sljedeći odnos drži $$ a = a^+ - a^-$$ Gore je tekst iz moje knjige za optimizaciju kompilera i ne mogu razumjeti objašnjenje odnosa. Kako $a$ može biti pravi broj i imati pozitivne i negativne dijelove?	linear-programming
A.263	Formalni odnos između pravila zaključivanja i materijalnog uvjetnog	Ne znam $100\%$ kako se razlikuje između pravila inferencije i materijalnog uslovnog, barem u klasičnoj logici. Koristim istinski-funkcionalnu definiciju materijalnog uslovnog, koja se obično prikazuje kroz njegovu tabelu istinjenja, ali nisam potpuno siguran što je formalna definicija pravila inferencije. Wikipedijski članak definiše ga kao određenu vrstu logičkog oblika, što izgleda kao termin iz filozofske logike s kojim nisam upoznat, ali čitanje tog članka nije stvarno dovelo moje pitanje.	logic,soft-question,formal-systems
A.264	Modulo Power aritmetica	Dok obavljaju neke aritmetske operacije, ja sam zaglavio u jednom trenutku. Želim znati je li moguće pisati ($a^b)\%p$ kao ($a^{(b\%p)})\%p$?	modular-arithmetic
A.265	Kako pokazati da $(a/b)^2$ u ovoj situaciji ne može biti cjeloviti broj	$a$,$b$ neka budu relativno praznici koji su oboje veći od ili jednaki $2$ . Pokažite da $(a/b)^2$ ne može biti praznici. Pokušao sam koristiti kontradikciju da dokažem ovaj rezultat, ali nisam siguran da je moja ideja ispravna ili ne. Ispod je moja ideja (ne potpuni dokaz). Pretpostavimo da je $(a/b)^2$ praznici. Imamo $a/b$ je praznici. Onda imamo $a=bk$ gdje je $k$ praznici jer $b$ dijeli $a$. Budući da je $a,b$ relativno praznici, stoga $b$ mora biti $1$. Stoga se pojavljuje kontradikcija. Nisam siguran da je moja ideja ispravna ili ne, može li mi netko pomoći da je provjerim? Ako je moja ideja pogrešna, možete li mi dati ideju da postavljam ovo pitanje?	number-theory,gcd-and-lcm
A.266	Što se događa kada (nepravno) napravimo pogrešne frakcije ispravnim opet?	Mnogi ljudi izbjegavaju notiranje "mješovite brojeve" kao što je $4\frac{2}{3}$ zbog njegove dvosmislenosti. Primjer može značiti "$4$ i dvije trećine", tj. $4+\frac{2}{3}$, ali netko može biti upetljen da se množi, rezultirajući $\frac{8}{3}$. Moje su pitanja vezane za ono što se događa kada ponovimo ovaj proces - alternirajući između promjene frakcije u mešoviti broj, zatim "neto" množavanje mešovite frakcije.	number-theory,elementary-number-theory,recreational-mathematics,fractions
A.267	Dvostruki Lagrange Dvostruki	Za linearno programiranje, dobro je poznato da je dual dual dual primal. Pitam se je li to slučaj za Lagrange dualitet, i teško mi je pokazati ovo.	optimization,convex-optimization,linear-programming,duality-theorems
A.268	Ako je $Z\thicksim\text{Poisson}(\lambda)$, pronađite očekivanu vrijednost $\frac{1}{1+Z}.$	Problem: Pretpostavimo da $Z\thicksim\text{Poisson}(\lambda)$. Nađemo očekivanu vrijednost $\dfrac{1}{1+Z}.$. Imamo tu \begin{align*} E\infty\frac{1}{1+Z}\right]&=\sum_{k=0}^\infty\frac{1}{1+k}\frac{e^{-\lambda}\lambda^k}{k!}=e^{-\lambda}\sum_{k=0}^\infty\frac{\lambda^k}{\lambda^k}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{\lambda}{b}{\lambda}{bda}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}}{b}{b}}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}}}{b}{b}{b}{b}{b}{b}{b}{b}}}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}{b}}{b}{b}}{b}{b}}{b}{b}}}{b}{b}{b}{b}{b}}}{b}{b}}{b}}}}}{b}{b}}{b}{b}{b}{b}{b}{b}{b}{b}{b}}{b}{b}}}{b}{b}}{b}{b}{b}{b}}{b}{b}}}}{b}{b}{b}}{b}{b}}{b}{b}}}{b}{b}{b}{b}{b}{b}{b}}}}{b}}}	probability,solution-verification,expected-value,poisson-distribution
A.269	uvjetna vjerovatnoća u obitelji	Neka obitelj ima dvoje djece. Znano je da je jedno od djece dječak. Koja je vjerojatnost da su obje dječake. Dakle, za to izgrađujemo uzorak prostora $S=\{(b,b)(b,g)(g,g)\}$ Neka naš događaj E bude slučaj gdje su obje dječake $E=\{ (b,b) \}$ Neka uvjet bude F $F=\{(b,g),(b,b)\}$ Stoga $P(E|F)=\frac{P(E\cap F)}{P(F)}=\frac{1/3}{2/3}=\frac{1}{2}$ Ali odgovor u mojoj knjizi je dao kao $\frac{1}{3}$ i ja ne mogu razumjeti zašto.	probability,conditional-probability
A.270	Očekuje se broj glava prije nego što izađe rep pet puta	Činjenica je da se novčić ne može izbaciti u redovnom obliku, a da se ne može izbaciti u redovnom obliku.	probability,expected-value
A.271	Vjerojatnost $\limsup_{n\to \infty} \{X_n X_{n+1}>0\}$ gdje su $\{X_n\}$ nezavisne Gausske RV-ove s prosječnim 0	$\{X_n\}$ neka bude niz nezavisnih Gaussian randomnih promjenljivih s $\mathbb{E}\, X_n = 0$ za sve $n \geq 1$. Pronađite vjerovatnoću događaja $$ \limsup_{n\to \infty} \big\{ X_n X_{n+1}> 0 \big\} $$. Moja prva misao je da bi trebao biti 1 jer Gaussianci su uvijek pozitivni za krajnju vrijednost. Razmišljao sam o primjeni Borel-Cantellija i pokušavao nešto uz linije \begin{align*} \mathbb{P} \big( \limsup_{n\to \infty} \big\{X_{n+1}} \big\{n\n} \big\\\} \big} &= \bb{P} \big\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\	probability-theory,random-variables,borel-cantelli-lemmas
A.272	Zašto je $\sqrt{ab}$ = $\sqrt{a}\sqrt{b}$ nije istina kada su a i b negativni?	Čini se da je $\sqrt{ab}$ = $\sqrt{a}\sqrt{b}$ istinito samo ako su a i b i a pozitivni ili ako je a negativni i b pozitivni ili ako je a pozitivni i b negativni. Drugim riječima, a i b ne mogu biti i negativni. Je li to moguće algebrički dokazati? Ili je to samo rezultat načina na koji je definirana funkcija kvadratnog korijena? Znam jedan način da se dokaže ova radikalna svojina, ali još uvijek nisam siguran zašto to neće raditi za negativne brojeve. Neka x = $\sqrt{ab}$. Neka y = $\sqrt{a}\sqrt{b}$ kvadratna obje strane za obje jednadžbe. $x^2 = (\sqrt{ab})^2 = ab$ $y^2 = (\sqrt{a}\sqrt{b})^2 = (\sqrt{a}\sqrt{b})(\sqrt{a}\sqrt{b}) = (\sqrt{a})^2(\sqrt{b})^2 = ab$ $\therefore x^2 = y^2$ $x^2-y^2=0$ $(x+y)(x-y)=0$ $\therefore x = y$ ili $x = -y$ Ili $\sqrt{ab}$0 ili $\sqrt{ab}$1 Mnogi ljudi proći će kroz ovu liniju razuma ( prikazanju ispod) kako bi opravdali a i b ne mogu biti negativni. S obzirom na to da matematičari ili $\sqrt{ab}$2 ili $\sqrt{ab}$313 ne mogu razumjeti, to je samo konkretno dokaz gdje je to moguće.	radicals
A.273	Može li postojati frakcionalni/desimalni radikali/korenine?	Za pitanja poput "Što je 1/2 korijen x bi odgovor bio $x^2$? Moja logica je da je $$ \sqrt[\cfrac{1}{2}]{x}=x^{1/{(\cfrac{1}{2}})} $$ što se pojednostavljuje na $x^2$. Dakle, kao opće pravilo to može biti $$ \sqrt[\cfrac{1}{a}]{x}=x^{1/{(\cfrac{1}{a}})} =x^a $$ I s različitim imenitnikom $$\sqrt[\cfrac{b}{a}]{x}=x^{1/{(\cfrac{b}{a}})} =x^{\cfrac{a}{b}}$$ To odgovara tome kako decimalni/ frakcijski eksponenti označavaju radikale (njihov obrnuto) dok frakcijski radikalovi lakše se prikazuju eksponentima. Primjer: (2/3 korijen od 4) $$\sqrt[\cfrac{2}{3}]{4}=4^{1/{(\cfrac{2}{3}})} =4^{\cfrac{3}{2}}= 8$$ Primjer (22/7 korijen od π) : $$\sqrt[\cfrac{22}{7}]{π}=π^{1/{(\cfrac{22}{7}})} =π^{\cfrac{7}{22}} \approx 1.439$$ Primjer (1/2 korijen od 1/4) $$\sqrt[\cfrac{1}{2}]{\cfrac{1}{4}}=\cfrac{1}{4}^{1/(\cfrac{2}{1})} =\cfrac{1}{4}^{(\cfrac{2}{1})} =\cfrac{1}{4}^{2} =\cfrac{1}{16} $$	radicals,decimal-expansion,radical-equations
A.274	Zašto Heaviside distribucija $H$ ne pripada bilo Sobolev prostor $H^{s}(\mathbb{R})$	Dokazao sam da je Diracova raspodjela $\delta_{0}$ u Sobolevskom prostoru $H^{s}\left(\mathbf{R}^{n}\right)=\left\{f \in \mathcal{S}^{\prime}\left(\mathbf{R}^{n}\right)\left|\left(1+|\xi|^{2}\right)^{s / 2} \mathcal{F} f \in L^{2}\left(\mathbf{R}^{n}\right)\right\}\right.$ za svaki $s<-n / 2$ ali ja se borim da dokažem da Heaviside raspodjela $H$ $\forall x \in \mathbb{R}, H(x)=\left\{\begin{array}{lll}{0} & {\text { si }} & {x<0} \\ {1} & {\text { si }} & {x \geq 0}\end{array}\right.$ ne pripada nijednom Sobolevskom prostoru $H^{s}(\mathbb{R})$, možete li detaljno objasniti to?	real-analysis,functional-analysis,fourier-analysis,sobolev-spaces,distribution-theory
A.275	Dokazovanje integralnog identiteta s sve većim ograničenjima	Kako mogu pokazati da $$ \lim_{A\rightarrow \infty} \int_0^A \frac{\sin(x)}{x}dx\;=\;\frac{\pi}{2}?$$ znam da može koristiti činjenicu da, za $x>0$, $$x^{-1}\;=\;\int_0^\infty e^{-xt}dt$$ ali nisam siguran kako početi.	real-analysis,integration,analysis
A.276	Neka $k\in\mathbb{N}$ i $a>1$. Pokaži da $\lim_{n\to\infty} \frac{n^k}{a^n}=0$.	Mislim da moram pronaći vrijednost $n$ gdje $n^k. I know that this value occurs whenever $n>k\log_an$, however I don't understand how to interpret this result into a general $N$ da odaberem kao maksimum za konvergenciju sekvencije.	real-analysis
A.277	Je li nejednakost AM-GM jedina prepreka za dobivanje određene sume i proizvoda?	To bi moglo biti glupo, ali evo što ide. Neka $P,S>0$ budu pozitivni stvarni brojevi koji zadovoljavaju $\frac{S}{n} \ge \sqrt[n]{P}$. Postoji li niz pozitivnih stvarnih brojeva $a_1,\dots,a_n$ kao da $S=\sum a_i,P=\prod a_i$? Očito je da je $\frac{S}{n} \ge \sqrt[n]{P}$ nužan uvjet, zbog AM-GM nejednakosti. Ali je li to dovoljan? Za $n=2$, odgovor je pozitivan, kao što se može vidjeti analizirajući diskriminant povezane kvadratne jednadžbe. (U stvari, kriterij rešenja za kvadratičnu, odnosno - ne-negativnost diskriminanta, je ekvivalent AM-GM nejednakosti za suma i proizvod). Što je s $n>3$?	real-analysis,polynomials,systems-of-equations,a.m.-g.m.-inequality
A.278	Postoji li diferencijalna funkcija koja je $f(\mathbb Q) \subseteq \mathbb Q$ ali $f'(\mathbb Q) \not \subseteq \mathbb Q$?	Postoji li diferencijalna funkcija $f:\mathbb R \rightarrow \mathbb R$ kao što je $f(\mathbb Q) \subseteq \mathbb Q$, ali $f'(\mathbb Q) \not \subseteq \mathbb Q$? Moj prijatelj je to tvrdio bez davanja primjera. Ozbiljno sumnjam u to, ali teško sam pokušao iskazati to jer analiza nije stvarno moja stvar.	real-analysis
A.279	Ako $\lim_{x\to 0}\left(f(x)+\frac{1}{f(x)}\right)=2,$ pokazuje da $\lim_{x\to 0}f(x)=1$.	Prihvatimo da $f:(-\delta,\delta)\to (0,\infty)$ ima svojstvo da $$\lim_{x\to 0}\left(f(x)+\frac{1}{f(x)}\right)=2.$$ Pokaži da $\lim_{x\to 0}f(x)=1$. Moj pristup: Neka $h:(-\delta,\delta)\to(-1,\infty)$ bude takav da $h(x)=f(x)-1, \forall x\in(-\delta,\delta).$ Napomena da ako možemo pokazati da $\lim_{x\to 0}h(x)=0$, onda ćemo biti gotovi. Sada jer imamo $$\lim_{x\to 0}\left(f(x)+\frac{1}{f(x)}\right)=2\implies \lim_{x\to 0}\frac{(f(x)-1)^2}{f(x)}=0\implies \lim_{x\to 0}\frac{h^2(x)}{h(x)+1}=0.$$ Prethodno sam pokušao doći do neke granice kako bi se koristio Sandwich teorema za pokazat da $\lim_{x\to 0} h(x)=0,$ ali granice nisu baš funkcionirali. Granice su bile sljedeće: $$\begin{cases}h(x)\ge \frac{h^2(x)}{h(x)+1},\text{when }h(x)\ge 0,\\h(x)<\frac{h^2(x)}{h(x)+1},\text{when }h(x)<0.\end{cases}$$ Kako nastaviti nakon ovoga?	real-analysis,calculus,limits
A.280	Zašto inženjeri koriste derivate u diskontinuim funkcijama?	Ja sam student softverskog inženjerstva i ove godine sam naučio o tome kako CPU radi, ispostavilo se da elektronički inženjeri i ja također mnogo vidim u mom području, mi koristimo izvedene s diskontinuitnim funkcijama. Na primjer, kako bismo izračunali optimalno količinu valja dodataka kako bi se smanjio vrijeme izvršavanja procesa dodavanja: $$\text{ExecutionTime}(n, k) = \Delta(4k+\frac{2n}{k}-4)$$ $$\frac{d\,\text{ExecutionTime}(n, k)}{dk}=4\Delta-\frac{2n\Delta}{k^2}=0$$ $$k= \sqrt{\frac{n}{2}}$$ gdje $n$ je broj bitova u brojevima da se dodaju, $k$ je količina dodataka u valju i $\Delta$ je "delta vrata" (vreme koje je potrebno za vrata da se rade). Očito možete vidjeti da funkcija izvršavanja vremena uopće nije kontinuirana jer $k$ je prirodni broj i tako je $n$. To me je ludilo jer s jedne strane razumijem da mogu analizirati izvedenu funkciju kao kontinuiran i dobiti rezultate u tom pogledu, i mislim da je to količina bitova u valji i da mi je to puno pomoći, jer ako ne razumijem i ne razumijem, to je, ali ako mi to ne razumijem, to je vrlo važno, jer mi je riječ o matematičkoj intuiciji, ali ako to ne razumijem, i ne razumijem, jer je to stvarno, ali ako mi je riječ o tome, ako je, ako je, ako je, ako je, ako je, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ak	real-analysis,calculus,functions,derivatives,optimization
A.281	Alternativne metode za dokazivanje da $n^{\frac{1}{n}} \rightarrow 1$ gdje $n \in \mathbb{N}$	Dakle, pokušavao sam dokazati da $n^{\frac{1}{n}} \rightarrow 1$ gdje $n \in \mathbb{N}$. Evo što sam učinio: Od $n^{1/n}>1$, hajde da pretpostavimo $n=(1+k)^n$ za $n>1$ i neke $k>0$. Sada, koristio sam binomijalnu proširenje i napisao: $$\begin{align} n&=1+nk+\frac{n(n-1)}{2}k^2+....+k^n \geq1+\frac{n(n-1)}{2}k \\ &\Rightarrow n-1 \geq \frac{n(n-1)}{2}k^2 \\ &\Rightarrow k^2 \leq \frac{2}{n} \end{align}$$ Dakle, sada uvijek možemo pronaći $n>0$ tako da je $\frac{2}{\epsilon^2}. Now, as $n^{\frac{1}{n}}-1\geq0$n^{\frac{1}{n}} \rightarrow 1$0n^{\frac{1}{n}}-1=k\leq{\frac{2}{n}})^{\frac{1}{2}}<\epsilon$n^{\frac{1}{n}} \rightarrow 1$1n^{\frac{1}{n}}\rightarrow1$.	real-analysis,sequences-and-series,convergence-divergence
A.282	Kako dokazati vrijednost o $\zeta(2)$ pomoću funkcionalne analize?	Imam pitanje o $\sum_{n=1}^{\infty} 1/n^2$ = $\pi^2/6$ znam da se može dokazati standardnom analizom 1 promjenljive (radom na Taylor seriji $\arcsin$ ili nešto slično) ili osnovnom kompleksnom analizom. Ali netko mi je rekao da ima i sjajan dokaz koristeći funkcionalnu analizu.	real-analysis,complex-analysis,functional-analysis,sums-of-squares
A.283	U skladu s člankom 4. stavkom 1. stavkom 1.	Po $x_1 := a > 0$ i $x_{n+1} := x_n + \frac{1}{x_n}$ za $n \in \mathbb{N}$, utvrditi da li $(x_n)$ konvergira ili divergira. Po $x_1 > 0$ čini se očiglednim da se niz strogo povećava i uvijek je pozitivan jer uvijek dodajemo pozitivan broj svakom sljedećem elementu u nizu. Teže je pokazati je li $(x_n)$ ograničen ili ne. Ako je $(x_n)$ ograničen, onda $\exists M \in \mathbb{R}$ takav da se konvergentna razlika m ~ \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq \leq\leq\leq\leq \leq\leq \leq\leq\leq \leq\leq \leq\leq\leq\leq\leq\leq\leq\leq\le\leq\leq\le\le\leq\le\le\leq\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\le\	real-analysis,sequences-and-series,convergence-divergence
A.284	Zašto se desetine racionalnih brojeva ponašaju periodično?	Zanimljivo mi je dokaz da svaki racionalni broj ne može imati u decimalnom obliku beskonačan broj cifre koje se ne ponavljaju (ili obrnuto). Dakle, onda je dovoljno dokazati sljedeću izjavu: Za bilo koji $n \in \mathbb{N}$ racionalni broj $\frac{1}{n}$ može biti predstavljen u decimalnom obliku tako da se njegove cifre, ako ih je beskonačno puno, ponavljaju. Ako je to istina, onda je istina za bilo koji $\frac{m}{n} = \frac{1}{n} + \frac{1}{n} + ... + \frac{1}{n}$ ($m$ puta).	real-numbers,rational-numbers,decimal-expansion
A.285	Kako odrediti zbir ni geometrijskog ni aritmetskog ni kvadratskog ni kubskog niza?	Kako utvrditi formuli iznosa serije s obzirom na njegovu formule $n$ termin kao što su: $$U_n= n^2+n$$ ili $$U_n= 6n^2 -12n + 5$$	sequences-and-series
A.286	Znajući da se $\sum a_{k}$ konvergira, kako dokazati da je $\lim _{n \rightarrow+\infty} n a_{n}=0$.	$a_{n}$ je smanjiva i pozitivan. onda $\sum a_{k}$ konvergira znači $\lim _{n \rightarrow+\infty} n a_{n}=0$. mislim da je $na_n$ pozitivan, jedino što treba učiniti je pronaći gornju granicu za niz. Ali ne znam kako podijeliti niz da formira gornju granicu.	sequences-and-series,limits
A.287	Koji je zatvoreni oblik $\sum_{i=1}^n\frac{2i}{2^i}$	Pogledao sam $\frac{\sum 2i}{\sum2^i}$ (podjela), ali oba izraza nisu jednaka.	sequences-and-series
A.288	U redu je i u redu.	Znamo da se serija $\sum (-1)^n/n$ približava, a očito svaki drugi alternativni harmonični niz s znakom koji se mijenja svakih dva ili više termina kao što je $$\left(1+\frac{1}{2}+\frac{1}{3}\right)-\left(\frac{1}{4}+\frac{1}{5}+\frac{1}{6}\right)+\left(\frac{1}{7}+\frac{1}{8}+\frac{1}{9}\right)-\cdots$$ mora približiti. Moje pitanje ovdje je da li se niz ispod također približava? $$\sum\frac{\textrm{sgn}(\sin(n))}{n}\quad\textrm{or}\quad\sum\frac{\sin(n)}{n|\sin(n)|}$$ U slobodno govoreći, znak mijenja svakih $\pi$ termin. Bio bih iznenađen ako se ne približava. Wolfram Mathematica, nakon nekoliko minuta računa, zaključio je da se niz razlikuje, ali ja stvarno ne mogu vjerovati. Moj prvi pristup (pretpostavljajući da se niz približava) je bio da ako spojimo izraze s istim znakom kao što je primjer iznad svakog paketa mora imati tri ili četiri termine, a budući da su prva tri termine svih paketa čini alternativni niz, htio bih se igrati s preostalim četvrtim terminima ali oni ne mogu dobiti alternativni niz, tako da mislim da se u ovom pristupu razlikuje.	sequences-and-series
A.289	Nađi $x^n+y^n+z^n$ opće rješenje	Ako znamo $$x+y+z=1$$$$x^2+y^2+z^2=2$$$$x^3+y^3+z^3=3$$ je li moguće izračunati opće rješenje za $a_n=x^n+y^n+z^n$? Znam $a_5=6$ ali način da ga dobijemo je više algoritam nego stvarno rješenje.	sequences-and-series
A.290	Najbolja metoda za dokazivanje da je $7\times11^{2n+1}-3^{4n-1}$ podijeljen $10$	Ja sam pitao da dokažem indukcijom da je $7\times11^{2n+1}-3^{4n-1}$ podijeljen $10$. Pitam se postoji li direktniji metod, na primjer faktoriziranje $10$. Ako je izraz podijeljen $10$, znači li to da ga mogu faktorizirati $10$?	sequences-and-series,elementary-number-theory,divisibility
A.291	Suma $n$. djelomičnih proizvoda kvadrata parnih brojeva se razlikuje, ali za parne brojeve oni se zbunjuju u ovoj seriji.	Dakle, imam sljedeće dvije serije: $$\sum_{n=1}^\infty \frac{\prod_{k=1}^n(2k)^2}{(2n+2)!}$$ $$\sum_{n=0}^\infty \frac{\prod_{k=0}^n(2k+1)^2}{(2n+3)!}$$ Ja sam otkrio $n$ djelomični proizvodi: $$\prod_{k=1}^n(2k)^2=4^n(n!)^2$$ $$\prod_{k=0}^n (2k+1)^2=\frac{((2n+1)!)^2}{4^n(n!)^2}$$ Dakle, stavljajući ih natrag u moju seriju oni postaju sljedeći: $$\sum_{n=1}^\infty \frac{\prod_{k=1}^n(2k)^2}{(2n+2)!}=\sum_{n=1}^\infty\frac{4^n(n!)^2}{(2n+2)!}$$ Sada se to razlikuje kao što se očekuje od graničnog testa test. Međutim, kada pogledam moju drugu seriju: $$\sum_{n=0}^\infty \frac{\prod_{k=0}^n(2k+1)^2}{(2n+3)!}=\sum_{n=0}^\infty\frac{( (2n+1)!)^2}{4^n(n!)^2(2n+3)!}$$ Od graničnog testa možda se razlikuje ili možda ne, a test odnosa je neisključujući. Budući da nisam bio siguran što koristiti za test usporedbe bacio sam ovo u wolfram alfa i rekao mi je konverzije što je zbunljivo za mene jer su obje serije vrlo slične ako ih napisemo: $$\sum_{n=1}^\infty \frac{\prod_{k=1}^n(2k)^2}{(2n+2)!}=\frac{2^2}{4!}+\frac{2^24^2}{6!}+\frac{2^24^26^2}{8!}\cdot\cdot\cdot\cdot$$ $$\sum_{n=0}^\infty \frac{\prod_{k=0}^n(2k+1)^2}{(2n+3)!}=\frac{1^2}{3!}+\frac{1^23^2}{5!}+\frac{1^23^25^2}{7!}+\cdot\cdot\cdot$$ Oba imaju n-ti parijalni proizvod parnih / neobičnih čitavnih kvadrat u brojaču, i su iznad faktorijal koji je dva veći od $n$, tako da nisam siguran zašto je jedan konvergent i drugi je divergentni. Ili je to što sam ovdje, kao što je Wolfram, možda nešto nedostaje ovdje?	sequences-and-series,factorial,products
A.292	Nađite granicu sekvence $ \frac{x^n}{n^k}$ kao $n \to \infty$ za sve vrijednosti $ x > $0 i $k = 1, 2,\cdots$	Pokušao sam koristiti lemmu razmjera za rješavanje ovog pitanja i činjenice $(n+1)^k \geq 1 + nk$ i nisam došao do odgovora.	sequences-and-series,limits,analysis,exponentiation,ratio
A.293	Summacija $\sum_{j=2}^{n-1}j^2$	Znam da mogu napraviti ovaj $\sum_{j=1}^{n-1}j^2 - \sum_{j=1}^{1}j^2$. Je li to jednako $\frac{j(j+1)(2j+1)}{6} - j^2$ ili mi nedostaju neke svojstva s $n-1$?	sequences-and-series,summation
