A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.253	Kako bih prikazao rezultat ispod koristeći integraciju kontur?	Kako bih pokazao rezultat ispod koristeći konturnu integraciju? $$\int_{-\infty}^{\infty} \frac{\cos bx - \cos ax}{x^2} dx = \pi (a-b)$$ gdje a>b>0 koristeći konturnu integraciju. Bilo kakva pomoć bi bila vrlo zahvalna, hvala!	integration,complex-analysis,trigonometry,fourier-analysis,contour-integration
A.254	Teško pitanje integracije	Mogu li dobiti neke savjete kako riješiti ovaj integral?	integration,definite-integrals
A.255	Uloženi u $e^{-\frac{u^2}{2}}$	Ovo je prvi put sam došao na problem pronalaženja integral $\propto$. Imam zajedničku distribuciju $$f_{X,Y}(x,y) \propto \exp\left(13xy - 94x^2 - \frac{1}{2}y^2\right)$$ gdje $ -\infty< x <\infty, -\infty< y <\infty $ Pokušao sam pronaći $f_X(x)$ kao što je sledeće: \begin{align*} f_X(x) &\propto \int_{-\infty}^\infty e^{13xy - 94x^2 - \frac{1}{2}y^2}{\rm d}y\\ &\propto \int_{-\infty}^\infty e^{-\frac{1}{2}(y - 13x)^2 - \frac{19x^2}{2}}{\rm d}y\\ &\propto \frac{1}{e^{\frac{19x^2}{2}}} \int_{-\infty}^\infty e^{-\frac{u^2}{2}}{\rm d}u \end{align*} where $ u = (y - 13x)^2 $ Similarly, I derived $$ f_Y(y) \propto \frac{1}{e^{\frac{19x^2}{376}}} \int_{-\infty}^\infty e^{-u^2}{\rm d}u $$ where $ u = \sqrt{94}x - \frac{13y}{2\sqrt{94}} $ Možete li mi pokazati kako nastaviti do destinacije rješenja? Hvala unaprijed.	integration,probability-distributions,definite-integrals
A.256	Zašto moramo faktorizirati funkciju prije nego što uzmemo njenu granicu	Ako imamo funkciju: $$ f(x) =\frac{x^2-1}{x-1} $$ Recimo da želimo vidjeti koju vrijednost za y (iz slika) funkcija približava kao x (domena) bliže 1. Na kratko, moramo uzeti sljedeću granicu: $$ \lim_{x\to1}\frac{x^2-1}{x-1} $$ čim pogledamo ovu funkciju, shvatimo da funkcija nije kontinuirana na x = 1 (preko toga, mogu li reći to?). Znam algoritam za pronalaženje rješenja za granicu: Prvo, postoji potreba za uklanjanjem funkcije diskontinuiteta. Obično je samo stvar faktoriziranja funkcije u novu funkciju koja je ista kao prethodna slika s jednim ključnim razlikom: Funkcija je kontinuirana za sve brojeve Moje sumnje:	limits
A.257	Je li "uzimanje granice" funkcija, postupak, ternarna operacija?	Bio sam jučer u analizi i naravno smo uzeli granicu nekih izraza. Došlo mi je do znanja da "uzimanje granice" nekih izraza poštuje pravila linearne transformacije $$\lim_{x \rightarrow k}\ c(f(x)+g(x)) = c \lim_{x \rightarrow k} f(x) + c\ \lim_{x \rightarrow k} g(x),$$ i (moja teorija grupe je praktično nepostojeća) također se čini homomorfizmom: $$\lim_{x \rightarrow k} (fg)(x) = \lim_{x \rightarrow k} f(x)g(x), $$ itd.	limits,terminology
A.258	Kako dokazati $\lim_{x \to \infty} \frac{x^k}{e^x}=0$ ?	U ovom slučaju, $$\lim_{h \to 0} \frac{e^{-\frac{1}{h^2}}}{h}=\lim_{x \to \infty} \frac{x}{e^{x^2}}=\lim_{x \to -\infty} \frac{x}{e^{x^2}}$$ Pa kad sam primijenio L'Hospitalovo pravilo, onda je njegova vrijednost bila 0. I mislio sam da bez obzira koliko je veliki $k$ je, $$\lim_{x \to \infty} \frac{x^k}{e^x}$$ će biti jednako nuli jer je brzina povećanja eksponencijalnog mnogo brža od polinomskog. Definitivno, možemo primijeniti i L'hospitalovo pravilo ovdje, ali mislim da to nije odgovarajuće kvalitativno objašnjenje za činjenicu da je eksponencijalni mnogo veći od polinomskog.	limits,derivatives,exponential-function,epsilon-delta,differential
A.259	Zašto se $n^c$ raste brže od $2^n$?	Za svaki krajnji slučaj, mogu pronaći $c$ gdje je $2^n = n^c$, pa zašto je to istina? $$\lim_{n \rightarrow \infty} \frac{2^n}{n^c} = 0$$ Iz krajnjih slučajeva čini se da se $2^n$ raste brže jer možemo pronaći $c$ koji se ujema s njim u bilo kojem $n$.	limits
A.260	ograničenje s dvije promjenljive	Ako je $\sin(\theta)\neq 0$ onda je $0$. Kako se nositi s slučajem gdje je $\theta=0$ ili $\theta = \pi$?	limits,multivariable-calculus
A.261	Pokaži to $\det(T_n)=\sum_{k=0}^{n}\alpha^{n-k}\beta^k$	Pokažite da $$\det(T_n)=\sum_{k=0}^{n}\alpha^{n-k}\beta^k$$ Moj pristup: pokušao sam dokaz putem indukcije i dok je osnovni korak je trivijalni, ne mogu riješiti indukcijski korak jer je matica nikada u gornjem ili donjem trokutnom obliku, ali uvijek blok matica, što čini to izgleda teško kao pri izračunavanju determinanta matrice blok, obično izračunava proizvod svih "diagonalne blokove".	linear-algebra,matrices,induction,determinant
A.262	Positivni dio i negativni dio stvarnog broja	Neka $a$ bude stvarni broj . Pozitivni dio $a$, označen $a^+$ je dat izrazom $$a^+ = \text{if } a\geq 0 \text{ then QZ1 else } 0$$ Negativni dio $a$, označen $a^-$ je dat izrazom $$a^- = \text{if } a\geq 0 \text{ then $0$ else } -a$$ I $a^+$ i $a^-$ nisu negativni i sljedeći odnos drži $$ a = a^+ - a^-$$ Gore je tekst iz moje knjige za optimizaciju kompilera i ne mogu razumjeti odnos objasnjen. Kako se $a$ može biti stvarni broj i imati pozitivne i negativne dijelove?	linear-programming
A.263	Formalni odnos između pravila zaključivanja i materijalnog uvjetnog	Nisam $100\%$ jasan u vezi s onim što čini razliku između pravila inferencije i materijalne uslovne, barem u klasičnoj logici. Koristim istinski-funkcionalnu definiciju materijalne uslovne, koja se obično prikazuje kroz njegovu tabelu istinite, ali nisam potpuno siguran što je formalna definicija pravila inferencije. Wikipedijski članak definiše to kao određenu vrstu logičkog oblika, što je izraz iz filozofske logike s kojim nisam upoznat, ali čitanje tog članka nije stvarno odgovorio na moj pitanje. To se više odnosi na matematičku stranu stvari, a posebno me zanima interakcija između pojmova na sintaktičkom i semantičkom nivou. Koliko ja mogu, bilo koji pravilo inferencije može biti 'izrečeno' izrazumivanjem uvjetnog materijala: što je potrebno uzeti kao izraz između dva poznata podrijetla, ako je to jedno i drugo, ako ne možemo izraziti različite izjave, što je jedno i drugo, ako je jedno i drugo, ako je jedno i drugo, ako je jedno i drugo poznato kao izraz, što je jedno i drugo, ako je jedno i drugo, ako je jedno i drugo, ako je jedno i drugo.	logic,soft-question,formal-systems
A.264	Modulo Power aritmetica	Dok obavljaju neke aritmetske operacije, ja sam zaglavio u jednom trenutku. Želim znati je li moguće napisati ($a^b)\%p$ kao ($a^{(b\%p)})\%p$?	modular-arithmetic
A.265	Kako pokazati da $(a/b)^2$ u ovoj situaciji ne može biti cjeloviti broj	Neka $a$,$b$ budu relativno prazni čitavci koji su oboje veći od ili jednaki $2$ . Pokažite da $(a/b)^2$ ne može biti prazni broj. Pokušao sam koristiti kontradikciju da dokažem ovaj rezultat, ali nisam siguran da je moja ideja ispravna ili ne. Ispod je moja ideja (nije potpuni dokaz). Pretpostavimo da je $(a/b)^2$ prazni broj. Imamo $a/b$ je prazni broj. Onda imamo $a=bk$ gdje je $k$ prazni broj jer $b$ dijeli $a$. Budući da su $a,b$ relativno prazni, zato je $b$ $1$. Stoga se pojavljuje kontradikcija. Nisam siguran da je moja ideja ispravna ili ne, može li mi netko pomoći da je provjerim? Ako je moja ideja pogrešna, možete li mi dati ideju da postavljam ovo pitanje?	number-theory,gcd-and-lcm
A.266	Što se događa kada (nepravno) napravimo pogrešne frakcije ispravnim opet?	Mnogi ljudi izbjegavaju notiranje "mješovitih brojeva" kao što je $4\frac{2}{3}$ zbog njegove dvosmislenosti. Primjer može značiti "$4$ i dvije trećine", tj. $4+\frac{2}{3}$, ali netko može biti upetljen da se množi, rezultirajući $\frac{8}{3}$. Moje su pitanja vezane za ono što se događa kada ponovimo ovaj proces - izmjenom između promjene frakcije u mešoviti broj, zatim "neto" množenjem mešovite frakcije.	number-theory,elementary-number-theory,recreational-mathematics,fractions
A.267	Dvostruki Lagrange Dvostruki	Za linearno programiranje, dobro je poznato da je dual dual dual primal. Pitam se je li to slučaj za Lagrange dualitet, i teško mi je pokazati ovo.	optimization,convex-optimization,linear-programming,duality-theorems
A.268	Ako je $Z\thicksim\text{Poisson}(\lambda)$, pronađite očekivanu vrijednost $\frac{1}{1+Z}.$	Problem: Pretpostavimo da je $Z\thicksim\text{Poisson}(\lambda)$. Nađite očekivanu vrijednost $\dfrac{1}{1+Z}.$. Imamo \begin{align*} E\left[\frac{1}{1+Z}\right]&=\sum_{k=0}^\infty\frac{1}{1+k}\frac{e^{-\lambda}\lambda^k}{k!}=e^{-\lambda}\sum_{k=0}^\infty\frac{\lambda^k}{(k+1)!}=\frac{e^{-\lambda}}{\lambda}\left[\sum_{k=0}^\infty\frac{\lambda^k}{k!}-1\right]\\ &=\frac{e^{-\lambda}}{\lambda}[e^\lambda-1]=\frac{1}{\lambda}-\frac{e^{-\lambda}}{\lambda}, \end{align*} gdje smo koristili Taylorovu niz za eksponencijalnu funkciju. Slažete li se s mojim pristupom gore? Bilo kakav povratak je dobrodošao. Hvala vam puno za vrijeme.	probability,solution-verification,expected-value,poisson-distribution
A.269	uvjetna vjerovatnoća u obitelji	Neka obitelj ima dvoje djece. Znano je da je jedno od djece dječak. Koja je vjerojatnost da su obje djece dječak. Dakle, za to izgrađujemo uzorak prostora $S=\{(b,b)(b,g)(g,g)\}$ Neka naš događaj E bude slučaj gdje su obje djece dječak $E=\{ (b,b) \}$ Neka uvjet bude F $F=\{(b,g),(b,b)\}$ Stoga $P(E|F)=\frac{P(E\cap F)}{P(F)}=\frac{1/3}{2/3}=\frac{1}{2}$ Ali odgovor u mojoj knjizi je dao kao $\frac{1}{3}$ i ja ne mogu razumjeti zašto.	probability,conditional-probability
A.270	Očekuje se broj glava prije nego što izađe rep pet puta	Činjenica je da se novčić može iskopati u redovnom obliku dok ne izađe pet puta.	probability,expected-value
A.271	Probabilnost $\limsup_{n\to \infty} \{X_n X_{n+1}>0\}$ gdje su $\{X_n\}$ nezavisne Gaussian r.v.s s prosječnim 0	Neka $\{X_n\}$ bude niz nezavisnih Gaussian random varijabli s $\mathbb{E}\, X_n = 0$ za sve $n \geq 1$. Naći vjerovatnoću događaja $$ \limsup_{n\to \infty} \big\{ X_n X_{n+1}> 0 \big\} $$ Moja prva misao je da bi trebao biti 1 jer Gaussians su uvijek pozitivni za krajnju vrijednost.	probability-theory,random-variables,borel-cantelli-lemmas
A.272	Zašto je $\sqrt{ab}$ = $\sqrt{a}\sqrt{b}$ nije istina kada su a i b negativni?	Čini se da je $\sqrt{ab}$ = $\sqrt{a}\sqrt{b}$ istinito samo ako su a i b i a pozitivni ili ako je a negativna i b pozitivna ili ako je a pozitivna i b negativna. Drugim riječima, a i b ne mogu biti i negativna. Je li to moguće algebrički dokazati? Ili je to samo rezultat načina na koji je definirana funkcija kvadratnog korijena? Znam jedan način da se dokaže ova radikalna svojina, ali još uvijek nisam siguran zašto to neće raditi za negativne brojeve. Neka x = $\sqrt{ab}$. Neka y = $\sqrt{a}\sqrt{b}$ kvadrat obje strane za obje jednadžbe. $x^2 = (\sqrt{ab})^2 = ab$ $y^2 = (\sqrt{a}\sqrt{b})^2 = (\sqrt{a}\sqrt{b})(\sqrt{a}\sqrt{b}) = (\sqrt{a})^2(\sqrt{b})^2 = ab$ $\therefore x^2 = y^2$ $x^2-y^2=0$ $(x+y)(x-y)=0$Z8 ili $x = -y$ Ili $\sqrt{ab}$0 ili $\sqrt{ab}$1 Mnogi ljudi će proći kroz ovu liniju razuma ( prikazanju ispod) kako bi razumjeli zašto i granični matematičari ne mogu biti opravdan.	radicals
A.273	Može li postojati frakcionalni/desimalni radikali/korenine?	Za pitanja poput "Što je 1/2 korijen x bi odgovor bio $x^2$? Moja logica je da je od $$ \sqrt[\cfrac{1}{2}]{x}=x^{1/{(\cfrac{1}{2}})} $$ koji se pojednostavljuje na $x^2$. Dakle, kao opće pravilo to može biti $$ \sqrt[\cfrac{1}{a}]{x}=x^{1/{(\cfrac{1}{a}})} =x^a $$ I s različitim imenitnikom $$\sqrt[\cfrac{b}{a}]{x}=x^{1/{(\cfrac{b}{a}})} =x^{\cfrac{a}{b}}$$ To odgovara tome kako decimalni/ frakcijski eksponenti označavaju radikale (njihov obrnuto) dok frakcijski radikalni su lakše prikazani eksponentima. Primjer: (2/3-ki korijen od 4) $$\sqrt[\cfrac{2}{3}]{4}=4^{1/{(\cfrac{2}{3}})} =4^{\cfrac{3}{2}}= 8$$ Primjer (22/7-ki korijen od π) : $$\sqrt[\cfrac{22}{7}]{π}=π^{1/{(\cfrac{22}{7}})} =π^{\cfrac{7}{22}} \approx 1.439$$ Primjer (1/2-ki korijen od 1/4): $$\sqrt[\cfrac{1}{2}]{\cfrac{1}{4}}=\cfrac{1}{4}^{1/(\cfrac{2}{1})} =\cfrac{1}{4}^{(\cfrac{2}{1})} =\cfrac{1}{4}^{2} =\cfrac{1}{16} $$	radicals,decimal-expansion,radical-equations
A.274	Zašto Heaviside raspodjela $H$ ne pripada bilo Sobolev prostor $H^{s}(\mathbb{R})$	Dokazao sam da je Dirac raspodjela $\delta_{0}$ u prostoru Sobolev $H^{s}\left(\mathbf{R}^{n}\right)=\left\{f \in \mathcal{S}^{\prime}\left(\mathbf{R}^{n}\right)\left|\left(1+|\xi|^{2}\right)^{s / 2} \mathcal{F} f \in L^{2}\left(\mathbf{R}^{n}\right)\right\}\right.$ za svaki $s<-n / 2$ ali ja čelik borba dokazati da Heaviside raspodjela $H$ $\forall x \in \mathbb{R}, H(x)=\left\{\begin{array}{lll}{0} & {\text { si }} & {x<0} \\ {1} & {\text { si }} & {x \geq 0}\end{array}\right.$ Ne pripadaju nijednom prostoru Sobolev $H^{s}(\mathbb{R})$, možete li detaljno na to? Hvala unaprijed!	real-analysis,functional-analysis,fourier-analysis,sobolev-spaces,distribution-theory
A.275	Dokazovanje integralnog identiteta s sve većim ograničenjima	Kako da pokažem da $$ \lim_{A\rightarrow \infty} \int_0^A \frac{\sin(x)}{x}dx\;=\;\frac{\pi}{2}?$$ znam da može koristiti činjenicu da, za $x>0$, $$x^{-1}\;=\;\int_0^\infty e^{-xt}dt$$ ali nisam siguran kako početi.	real-analysis,integration,analysis
A.276	Neka $k\in\mathbb{N}$ i $a>1$ pokažu da $\lim_{n\to\infty} \frac{n^k}{a^n}=0$.	Mislim da moram pronaći vrijednost $n$ gdje je $n^k. I know that this value occurs whenever $n>k\log_an$, however I don't understand how to interpret this result into a general $N$ da odaberem kao maksimum za konvergenciju sekvencije.	real-analysis
A.277	Je li nejednakost AM-GM jedina prepreka za dobivanje određene sume i proizvoda?	To bi moglo biti glupo, ali evo što ide. Neka $P,S>0$ budu pozitivni stvarni brojevi koji zadovoljavaju $\frac{S}{n} \ge \sqrt[n]{P}$. Postoji li niz pozitivnih stvarnih brojeva $a_1,\dots,a_n$ takav da $S=\sum a_i,P=\prod a_i$? Očito je da je $\frac{S}{n} \ge \sqrt[n]{P}$ nužan uvjet, zbog AM-GM nejednakosti. Ali je li to dovoljno? Za $n=2$, odgovor je pozitivan, kao što se može vidjeti analizirajući diskriminant povezane kvadratne jednadžbe. (U stvari, kriterij rešenja za kvadratic, odnosno- ne-negativnost diskriminanta, je jednako AM-GM nejednakosti za suma i proizvod). Što je s $n>3$?	real-analysis,polynomials,systems-of-equations,a.m.-g.m.-inequality
A.278	Postoji li diferencijalna funkcija koja je $f(\mathbb Q) \subseteq \mathbb Q$ ali $f'(\mathbb Q) \not \subseteq \mathbb Q$?	Postoji li diferencijalna funkcija $f:\mathbb R \rightarrow \mathbb R$ kao što je $f(\mathbb Q) \subseteq \mathbb Q$, ali $f'(\mathbb Q) \not \subseteq \mathbb Q$? Moj prijatelj je to tvrdio bez davanja primjera. Ozbiljno sumnjam u to, ali teško sam pokušao iskazati to jer analiza nije stvarno moja stvar.	real-analysis
A.279	Ako $\lim_{x\to 0}\left(f(x)+\frac{1}{f(x)}\right)=2,$ pokaže da $\lim_{x\to 0}f(x)=1$.	Prihvatimo da $f:(-\delta,\delta)\to (0,\infty)$ ima svojstvo da $$\lim_{x\to 0}\left(f(x)+\frac{1}{f(x)}\right)=2.$$ Pokaži da $\lim_{x\to 0}f(x)=1$. Moj pristup: Neka $h:(-\delta,\delta)\to(-1,\infty)$ bude takav da $h(x)=f(x)-1, \forall x\in(-\delta,\delta).$ Napomena da ako možemo pokazati da $\lim_{x\to 0}h(x)=0$, onda ćemo biti gotovi. Sada pošto imamo $$\lim_{x\to 0}\left(f(x)+\frac{1}{f(x)}\right)=2\implies \lim_{x\to 0}\frac{(f(x)-1)^2}{f(x)}=0\implies \lim_{x\to 0}\frac{h^2(x)}{h(x)+1}=0.$$ sljedeći pokušao sam doći do neke granice kako bi koristio Sandwich teoremu pokazati da $\lim_{x\to 0} h(x)=0,$ ali granice nisu baš funkcionirali. Granice su bile sljedeće: $$\begin{cases}h(x)\ge \frac{h^2(x)}{h(x)+1},\text{when }h(x)\ge 0,\\h(x)<\frac{h^2(x)}{h(x)+1},\text{when }h(x)<0.\end{cases}$$ Kako nastaviti nakon ovoga?	real-analysis,calculus,limits
A.280	Zašto inženjeri koriste derivate u diskontinuim funkcijama?	Ja sam student softverskog inženjerstva i ove godine sam naučio o tome kako CPU radi, ispostavilo se da elektronički inženjeri i ja također mnogo vidim u mom području, mi koristimo izvedene s diskontinuitnim funkcijama. Na primjer, kako bismo izračunali optimalno količinu valja dodataka kako bi se smanjio vrijeme izvršenja procesa dodavanja: $$\text{ExecutionTime}(n, k) = \Delta(4k+\frac{2n}{k}-4)$$ $$\frac{d\,\text{ExecutionTime}(n, k)}{dk}=4\Delta-\frac{2n\Delta}{k^2}=0$$ $$k= \sqrt{\frac{n}{2}}$$ gdje $n$ je broj bitova u brojevima da se dodaju, $k$ je količina dodataka u valju i $\Delta$ je "delta vrata" (vreme koje je potrebno za vrata da se rade). Očito možete vidjeti da vrijeme izvršenja uopće nije kontinuirano jer je $k$ prirodni broj i tako je $n$. To me čini ludim jer s jedne strane razumijem da mogu dobiti rezultate kao kontinuirano i da mogu na taj način, a da se i dalje analizirati, $k$ i da mi je to, ako ne razumijem, i da mi je to, jer mi je to, ako ne razumijem, i da je to, vrlo dobro, ali ako mi je to, ako mi se to ne može objasniti, ako mi je to, i ako mi se to, i ako mi ne razumijem, i ako mi je to, i ako mi ne razumijem, i ako mi je, ako to, jer mi je to, i ako je to, zapravo, ako je, ako je, ako je, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako, ako ako ako, ako, ako, ako, ako, ako ako ako ako, ako, ako ako ako ako ako, ako, ako ako, ako ako, ako, ako, ako ako ako ako, ako, ako, ako ako ako, ako ako ako ako ako ako ako ako ako ako ako ako, ako, ako ako ako ako ako ako, ako, ako, ako ako, ako, ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako, ako ako ako ako ako ako, ako, ako, ako, ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako, ako ako ako ako ako ako ako, ako ako ako ako ako, ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako, ako ako ako ako ako ako ako ako ako ako ako ako ako, ako ako ako ako ako, ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako, ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako ako	real-analysis,calculus,functions,derivatives,optimization
A.281	U skladu s člankom 4. stavkom 1. stavkom 1.	Dakle, pokušavao sam dokazati da je $n^{\frac{1}{n}} \rightarrow 1$ gdje je $n \in \mathbb{N}$. Evo što sam učinio: Otkako je $n^{1/n}>1$, pretpostavimo $n=(1+k)^n$ za $n>1$ i neki $k>0$. Sada, koristio sam binomijalnu ekspanziju i napisao: $$\begin{align} n&=1+nk+\frac{n(n-1)}{2}k^2+....+k^n \geq1+\frac{n(n-1)}{2}k \\ &\Rightarrow n-1 \geq \frac{n(n-1)}{2}k^2 \\ &\Rightarrow k^2 \leq \frac{2}{n} \end{align}$$ Dakle, sada uvijek možemo pronaći $n>0$ tako da je $\frac{2}{\epsilon^2}. Now, as $n^{\frac{1}{n}}-1\geq0$n^{\frac{1}{n}} \rightarrow 1$0n^{\frac{1}{n}}-1=k\leq(\frac{2}{n}})^{\frac{1}{2}}<\epsilon$n^{\frac{1}{n}} \rightarrow 1$1n{\frac{1}{n}}\rightarrow1$.	real-analysis,sequences-and-series,convergence-divergence
A.282	Kako dokazati vrijednost o $\zeta(2)$ pomoću funkcionalne analize?	Imam pitanje o $\sum_{n=1}^{\infty} 1/n^2$ = $\pi^2/6$ znam da se može dokazati standardnom analizom 1 promjenljive (radom na Taylor seriji $\arcsin$ ili nešto slično) ili osnovnom kompleksnom analizom. Ali netko mi je rekao da je to također sjajan dokaz koristeći funkcionalnu analizu.	real-analysis,complex-analysis,functional-analysis,sums-of-squares
A.283	U skladu s člankom 4. stavkom 1. stavkom 1.	Kad se $x_1 := a > 0$ i $x_{n+1} := x_n + \frac{1}{x_n}$ za $n \in \mathbb{N}$ razmotre da li se $(x_n)$ približava ili diverzije. Pošto se $x_1 > 0$ čini očiglednim da se niz strogo povećava i uvijek je pozitivan jer uvijek dodajemo pozitivan broj svakom sljedećem elementu u nizu.	real-analysis,sequences-and-series,convergence-divergence
A.284	Zašto se desetine racionalnih brojeva ponašaju periodično?	Zanimljivo mi je dokaz da svaki racionalni broj ne može imati u decimalnom obliku beskonačan broj cifre koje se ne ponavljaju (ili obrnuto). Dakle, onda je dovoljno dokazati sljedeću izjavu: Za bilo koji racionalni broj $n \in \mathbb{N}$ $\frac{1}{n}$ može biti predstavljen u decimalnom obliku tako da se njegove cifre, ako ih je beskonačno puno, ponavljaju.	real-numbers,rational-numbers,decimal-expansion
A.285	Kako odrediti zbir ni geometrijskog ni aritmetskog ni kvadratskog ni kubskog niza?	Kako utvrditi formuli iznosa serije s obzirom na formule $n$th term poput: $$U_n= n^2+n$$ ili $$U_n= 6n^2 -12n + 5$$	sequences-and-series
A.286	Znajući konverziju $\sum a_{k}$, kako dokazati da je $\lim _{n \rightarrow+\infty} n a_{n}=0$.	Kad je $a_{n}$ smanjen i pozitivan, onda je $\sum a_{k}$ konvergent $\lim _{n \rightarrow+\infty} n a_{n}=0$. Mislim da je $na_n$ pozitivan, jedino što treba učiniti je pronaći gornju granicu za niz.	sequences-and-series,limits
A.287	Koji je zatvoreni oblik $\sum_{i=1}^n\frac{2i}{2^i}$	Pogledao sam $\frac{\sum 2i}{\sum2^i}$ (podjeljenje), ali oba izraza nisu jednaka.	sequences-and-series
A.288	U redu je i u redu.	Znamo da se niz $\sum (-1)^n/n$ približava, a očito svaki drugi alternativni harmonični niz s znakom koji se mijenja svakih dva ili više termina kao što je $$\left(1+\frac{1}{2}+\frac{1}{3}\right)-\left(\frac{1}{4}+\frac{1}{5}+\frac{1}{6}\right)+\left(\frac{1}{7}+\frac{1}{8}+\frac{1}{9}\right)-\cdots$$ mora konvergirati. Moje pitanje ovdje je da li se niz ispod također približava? $$\sum\frac{\textrm{sgn}(\sin(n))}{n}\quad\textrm{or}\quad\sum\frac{\sin(n)}{n|\sin(n)|}$$ Prošto govoreći, znak mijenja svaki $\pi$ termin. Bio bih iznenađen ako se ne približava. Wolfram Mathematica, nakon nekoliko minuta računa, zaključio je da se niz razlikuje, ali ne mogu vjerovati. Moj prvi pristup (pretpostavljajući da se niz konvergira) je bio da ako spojimo izraze s istim znakom kao što je primjer iznad svakog spoja mora imati tri ili četiri izraze, a budući da su prva tri izraze svih spoja čini manjši alternativni niz, htio bih se igrati s četvrtim alternativnim izrazima, ali oni ne dobivaju malo alternativni pristup tako da mislim da sam u ovom ciklusu.	sequences-and-series
A.289	Pronađite opće rješenje $x^n+y^n+z^n$	Ako znamo $$x+y+z=1$$$$x^2+y^2+z^2=2$$$$x^3+y^3+z^3=3$$ je li moguće izračunati opće rješenje za $a_n=x^n+y^n+z^n$? Znam $a_5=6$ ali način da ga dobijemo je više algoritam nego stvarno rješenje.	sequences-and-series
A.290	Najbolja metoda za dokaz da je $7\times11^{2n+1}-3^{4n-1}$ podijeljen po $10$	Pitam se postoji li direktniji metod, na primjer faktoriziranje po $10$. Ako je izraz podijeljen po $10$, znači li to da ga mogu faktorizirati po $10$?	sequences-and-series,elementary-number-theory,divisibility
